date,division,games_played,isWinner,losses,pct,team_name,team_short_name,wins
1994-04-03,National League Central,1,True,0,1.000,St. Louis Cardinals,St. Louis,1
1994-04-05,American League Central,1,False,1,.000,Minnesota Twins,Minnesota,0
1994-04-05,National League Central,1,True,0,1.000,Milwaukee Brewers,Milwaukee,1
1994-04-05,American League West,1,False,1,.000,Oakland Athletics,Oakland,0
1994-04-05,National League West,1,True,0,1.000,Los Angeles Dodgers,LA Dodgers,1
1994-04-05,National League East,1,False,1,.000,Florida Marlins,Miami,0
1994-04-04,American League East,1,True,0,1.000,New York Yankees,NY Yankees,1
1994-04-04,American League West,1,False,1,.000,Texas Rangers,Texas,0
1994-04-04,American League Central,1,True,0,1.000,Cleveland Indians,Cleveland,1
1994-04-04,American League West,1,False,1,.000,Seattle Mariners,Seattle,0
1994-04-04,National League West,1,True,0,1.000,San Francisco Giants,San Francisco,1
1994-04-04,National League Central,1,False,1,.000,Pittsburgh Pirates,Pittsburgh,0
1994-04-04,National League West,1,False,1,.000,Colorado Rockies,Colorado,0
1994-04-04,National League East,1,True,0,1.000,Philadelphia Phillies,Philadelphia,1
1994-04-05,American League West,1,True,0,1.000,California Angels,LA Angels,1
1994-04-04,National League East,1,True,0,1.000,New York Mets,NY Mets,1
1994-04-03,National League Central,1,False,1,.000,Cincinnati Reds,Cincinnati,0
1994-04-04,National League East,1,True,0,1.000,Atlanta Braves,Atlanta,1
1994-04-04,American League Central,1,False,1,.000,Chicago White Sox,Chi White Sox,0
1994-04-04,American League East,1,True,0,1.000,Toronto Blue Jays,Toronto,1
1994-04-04,American League Central,1,False,1,.000,Detroit Tigers,Detroit,0
1994-04-04,American League East,1,True,0,1.000,Boston Red Sox,Boston,1
1994-04-04,National League West,1,False,1,.000,San Diego Padres,San Diego,0
1994-04-04,National League Central,1,False,1,.000,Chicago Cubs,Chi Cubs,0
1994-04-04,American League Central,1,False,1,.000,Kansas City Royals,Kansas City,0
1994-04-04,American League East,1,True,0,1.000,Baltimore Orioles,Baltimore,1
1994-04-04,National League East,1,False,1,.000,Montreal Expos,Washington,0
1994-04-04,American League West,1,True,0,1.000,Houston Astros,Houston,1
1994-04-06,National League Central,2,False,1,.500,Cincinnati Reds,Cincinnati,1
1994-04-06,American League Central,2,False,2,.000,Kansas City Royals,Kansas City,0
1994-04-06,American League East,2,True,0,1.000,Baltimore Orioles,Baltimore,2
1994-04-06,American League West,2,True,0,1.000,California Angels,LA Angels,2
1994-04-06,American League Central,2,False,2,.000,Minnesota Twins,Minnesota,0
1994-04-07,American League West,2,False,2,.000,Seattle Mariners,Seattle,0
1994-04-07,American League Central,2,True,0,1.000,Cleveland Indians,Cleveland,2
1994-04-06,National League East,2,False,2,.000,Florida Marlins,Miami,0
1994-04-06,National League West,2,True,0,1.000,Los Angeles Dodgers,LA Dodgers,2
1994-04-06,National League Central,2,False,1,.500,St. Louis Cardinals,St. Louis,1
1994-04-07,National League Central,2,True,0,1.000,Milwaukee Brewers,Milwaukee,2
1994-04-07,American League West,2,False,2,.000,Oakland Athletics,Oakland,0
1994-04-06,National League East,2,True,0,1.000,Philadelphia Phillies,Philadelphia,2
1994-04-06,National League West,2,False,2,.000,Colorado Rockies,Colorado,0
1994-04-06,American League East,2,True,0,1.000,Boston Red Sox,Boston,2
1994-04-07,American League West,2,False,2,.000,Texas Rangers,Texas,0
1994-04-04,National League Central,2,False,1,.500,St. Louis Cardinals,St. Louis,1
1994-04-04,National League Central,2,True,1,.500,Cincinnati Reds,Cincinnati,1
1994-04-06,American League Central,2,False,2,.000,Detroit Tigers,Detroit,0
1994-04-05,National League West,2,False,2,.000,San Diego Padres,San Diego,0
1994-04-05,National League East,2,True,0,1.000,New York Mets,NY Mets,2
1994-04-05,National League Central,2,False,2,.000,Chicago Cubs,Chi Cubs,0
1994-04-05,National League East,2,True,0,1.000,Atlanta Braves,Atlanta,2
1994-04-05,American League West,2,False,1,.500,Houston Astros,Houston,1
1994-04-05,National League East,2,True,1,.500,Montreal Expos,Washington,1
1994-04-07,American League East,2,True,0,1.000,New York Yankees,NY Yankees,2
1994-04-05,National League Central,2,False,2,.000,Pittsburgh Pirates,Pittsburgh,0
1994-04-05,American League East,2,True,0,1.000,Toronto Blue Jays,Toronto,2
1994-04-05,American League Central,2,False,2,.000,Chicago White Sox,Chi White Sox,0
1994-04-05,National League West,2,True,0,1.000,San Francisco Giants,San Francisco,2
1994-04-07,National League West,3,False,1,.667,Los Angeles Dodgers,LA Dodgers,2
1994-04-08,American League West,3,True,2,.333,Oakland Athletics,Oakland,1
1994-04-08,American League Central,3,False,3,.000,Kansas City Royals,Kansas City,0
1994-04-09,National League Central,3,False,2,.333,St. Louis Cardinals,St. Louis,1
1994-04-08,National League Central,3,True,1,.667,Cincinnati Reds,Cincinnati,2
1994-04-08,American League West,3,False,3,.000,Seattle Mariners,Seattle,0
1994-04-08,American League West,3,True,2,.333,Texas Rangers,Texas,1
1994-04-08,American League East,3,False,1,.667,Baltimore Orioles,Baltimore,2
1994-04-08,National League Central,3,True,0,1.000,Milwaukee Brewers,Milwaukee,3
1994-04-08,American League Central,3,True,0,1.000,Cleveland Indians,Cleveland,3
1994-04-08,American League East,3,True,0,1.000,New York Yankees,NY Yankees,3
1994-04-07,National League East,3,True,2,.333,Florida Marlins,Miami,1
1994-04-07,National League East,3,True,0,1.000,Philadelphia Phillies,Philadelphia,3
1994-04-06,National League Central,3,False,3,.000,Pittsburgh Pirates,Pittsburgh,0
1994-04-06,National League West,3,True,0,1.000,San Francisco Giants,San Francisco,3
1994-04-06,American League Central,3,True,2,.333,Chicago White Sox,Chi White Sox,1
1994-04-06,National League East,3,True,0,1.000,New York Mets,NY Mets,3
1994-04-06,American League East,3,False,1,.667,Toronto Blue Jays,Toronto,2
1994-04-06,National League East,3,True,1,.667,Montreal Expos,Washington,2
1994-04-06,American League West,3,False,2,.333,Houston Astros,Houston,1
1994-04-07,National League West,3,False,3,.000,Colorado Rockies,Colorado,0
1994-04-06,National League East,3,True,0,1.000,Atlanta Braves,Atlanta,3
1994-04-06,National League West,3,False,3,.000,San Diego Padres,San Diego,0
1994-04-06,National League Central,3,False,3,.000,Chicago Cubs,Chi Cubs,0
1994-04-07,American League East,3,True,0,1.000,Boston Red Sox,Boston,3
1994-04-07,American League Central,3,False,3,.000,Detroit Tigers,Detroit,0
1994-04-07,American League Central,3,True,2,.333,Minnesota Twins,Minnesota,1
1994-04-07,American League West,3,False,1,.667,California Angels,LA Angels,2
1994-04-09,American League West,4,False,4,.000,Seattle Mariners,Seattle,0
1994-04-08,National League West,4,False,2,.500,Los Angeles Dodgers,LA Dodgers,2
1994-04-08,National League East,4,False,3,.250,Florida Marlins,Miami,1
1994-04-09,National League Central,4,True,1,.750,Cincinnati Reds,Cincinnati,3
1994-04-10,American League Central,4,True,3,.250,Kansas City Royals,Kansas City,1
1994-04-09,National League West,4,True,0,1.000,San Francisco Giants,San Francisco,4
1994-04-09,American League West,4,True,2,.500,Oakland Athletics,Oakland,2
1994-04-09,National League Central,4,True,2,.500,St. Louis Cardinals,St. Louis,2
1994-04-09,American League East,4,True,1,.750,Baltimore Orioles,Baltimore,3
1994-04-08,American League Central,4,False,3,.250,Minnesota Twins,Minnesota,1
1994-04-09,American League West,4,False,3,.250,Texas Rangers,Texas,1
1994-04-10,American League Central,4,False,1,.750,Cleveland Indians,Cleveland,3
1994-04-09,American League East,4,False,1,.750,New York Yankees,NY Yankees,3
1994-04-09,National League Central,4,False,1,.750,Milwaukee Brewers,Milwaukee,3
1994-04-07,National League East,4,True,0,1.000,Atlanta Braves,Atlanta,4
1994-04-08,American League East,4,True,0,1.000,Boston Red Sox,Boston,4
1994-04-08,American League Central,4,False,3,.250,Chicago White Sox,Chi White Sox,1
1994-04-08,National League Central,4,True,3,.250,Chicago Cubs,Chi Cubs,1
1994-04-08,National League East,4,False,2,.500,Montreal Expos,Washington,2
1994-04-08,National League West,4,True,3,.250,Colorado Rockies,Colorado,1
1994-04-07,National League West,4,False,4,.000,San Diego Padres,San Diego,0
1994-04-08,National League Central,4,False,4,.000,Pittsburgh Pirates,Pittsburgh,0
1994-04-08,American League West,4,True,2,.500,Houston Astros,Houston,2
1994-04-08,National League East,4,False,1,.750,Philadelphia Phillies,Philadelphia,3
1994-04-08,National League East,4,False,1,.750,New York Mets,NY Mets,3
1994-04-08,American League West,4,False,2,.500,California Angels,LA Angels,2
1994-04-08,American League Central,4,False,4,.000,Detroit Tigers,Detroit,0
1994-04-08,American League East,4,True,1,.750,Toronto Blue Jays,Toronto,3
1994-04-09,National League West,5,False,3,.400,Los Angeles Dodgers,LA Dodgers,2
